boundary,x_c,y_c,nx,ny,A
right,0.1,0.031125,1.0,0.0,2.5e-06
right,0.1,0.031375,1.0,0.0,2.5e-06
right,0.1,0.031625,1.0,0.0,2.5e-06
right,0.1,0.031875,1.0,0.0,2.5e-06
right,0.1,0.032125,1.0,0.0,2.5e-06
right,0.1,0.032375,1.0,0.0,2.5e-06
right,0.1,0.032625,1.0,0.0,2.5e-06
right,0.1,0.032875,1.0,0.0,2.5e-06
right,0.1,0.033125,1.0,0.0,2.5e-06
right,0.1,0.033375,1.0,0.0,2.5e-06
right,0.1,0.033625,1.0,0.0,2.5e-06
right,0.1,0.033875,1.0,0.0,2.5e-06
right,0.1,0.034125,1.0,0.0,2.5e-06
right,0.1,0.034375,1.0,0.0,2.5e-06
right,0.1,0.034625,1.0,0.0,2.5e-06
right,0.1,0.034875,1.0,0.0,2.5e-06
right,0.1,0.035125,1.0,0.0,2.5e-06
right,0.1,0.035375000000000004,1.0,0.0,2.5e-06
right,0.1,0.035625000000000004,1.0,0.0,2.5e-06
right,0.1,0.035875000000000004,1.0,0.0,2.5e-06
right,0.1,0.036125,1.0,0.0,2.5e-06
right,0.1,0.036375,1.0,0.0,2.5e-06
right,0.1,0.036625,1.0,0.0,2.5e-06
right,0.1,0.036875,1.0,0.0,2.5e-06
right,0.1,0.037125,1.0,0.0,2.5e-06
right,0.1,0.037375,1.0,0.0,2.5e-06
right,0.1,0.037625,1.0,0.0,2.5e-06
right,0.1,0.037875,1.0,0.0,2.5e-06
right,0.1,0.038125,1.0,0.0,2.5e-06
right,0.1,0.038375,1.0,0.0,2.5e-06
right,0.1,0.038625,1.0,0.0,2.5e-06
right,0.1,0.038875,1.0,0.0,2.5e-06
right,0.1,0.039125,1.0,0.0,2.5e-06
right,0.1,0.039375,1.0,0.0,2.5e-06
right,0.1,0.039625,1.0,0.0,2.5e-06
right,0.1,0.039875,1.0,0.0,2.5e-06
right,0.1,0.040125,1.0,0.0,2.5e-06
right,0.1,0.040375,1.0,0.0,2.5e-06
right,0.1,0.040625,1.0,0.0,2.5e-06
right,0.1,0.040875,1.0,0.0,2.5e-06
right,0.1,0.041125,1.0,0.0,2.5e-06
right,0.1,0.041375,1.0,0.0,2.5e-06
right,0.1,0.041625,1.0,0.0,2.5e-06
right,0.1,0.041875,1.0,0.0,2.5e-06
right,0.1,0.042125,1.0,0.0,2.5e-06
right,0.1,0.042375,1.0,0.0,2.5e-06
right,0.1,0.042625,1.0,0.0,2.5e-06
right,0.1,0.042875,1.0,0.0,2.5e-06
right,0.1,0.043125000000000004,1.0,0.0,2.5e-06
right,0.1,0.043375000000000004,1.0,0.0,2.5e-06
right,0.1,0.043625000000000004,1.0,0.0,2.5e-06
right,0.1,0.043875000000000004,1.0,0.0,2.5e-06
right,0.1,0.044125,1.0,0.0,2.5e-06
right,0.1,0.044375,1.0,0.0,2.5e-06
right,0.1,0.044625,1.0,0.0,2.5e-06
right,0.1,0.044875,1.0,0.0,2.5e-06
right,0.1,0.045125,1.0,0.0,2.5e-06
right,0.1,0.045375,1.0,0.0,2.5e-06
right,0.1,0.045625,1.0,0.0,2.5e-06
right,0.1,0.045875,1.0,0.0,2.5e-06
right,0.1,0.046125,1.0,0.0,2.5e-06
right,0.1,0.046375,1.0,0.0,2.5e-06
right,0.1,0.046625,1.0,0.0,2.5e-06
right,0.1,0.046875,1.0,0.0,2.5e-06
right,0.1,0.047125,1.0,0.0,2.5e-06
